num	type	reportname	dbname	person	committee	bill
86	PARTNERS  FOR  FISH  AND  WILDLIFE  ACT	senate	sr086	109	INHOFE	Committee on Environment and Public Works	S. 260
87	CONGRESSIONAL  AWARD  ACT	senate	sr087	109	COLLINS	Committee on Homeland Security and Governmental Affairs	S. 335
88	DEPARTMENTS  OF  COMMERCE  AND  JUSTICE,  SCIENCE,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  2006	senate	sr088	109	SHELBY	Committee on Appropriations	H.R. 2862
89	LEGISLATIVE  BRANCH  APPROPRIATIONS,  2006	senate	sr089	109	ALLARD	Committee on Appropriations	H.R. 2985
90	WATER  RESOURCES  RESEARCH  ACT  AMENDMENTS  OF  2005	senate	sr090	109	INHOFE	Committee on Environment and Public Works	S. 1017
91	AMENDING  THE  PUBLIC  HEALTH  SERVICE  ACT  WITH  RESPECT  TO  THE  NATIONAL  FOUNDATION  FOR  THE  CENTERS  FOR  DISEASE  CONTROL  AND  PREVENTION	senate	sr091	109	ENZI	Committee on Health	S. 655
92	AGRICULTURE,  RURAL  DEVELOPMENT,  FOOD  AND  DRUG  ADMINISTRATION,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  2006	senate	sr092	109	BENNETT	Committee on Appropriations	H.R. 2744
93	TRAINING  FOR  REALTIME  WRITERS  ACT  OF  2005	senate	sr093	109	STEVENS	Committee on Commerce	S. 268
94	THE  MINORITY  SERVING  INSTITUTION  DIGITAL  AND  WIRELESS  TECHNOLOGY  OPPORTUNITY  ACT  OF  2005	senate	sr094	109	STEVENS	Committee on Commerce	S. 432
95	REVISED  ALLOCATION  TO  SUBCOMMITTEES  OF  BUDGET  TOTALS  FROM  THE  CONCURRENT  RESOLUTION  FOR  FISCAL  YEAR  2006	senate	sr095	109	COCHRAN	Committee on Appropriations	
96	DEPARTMENT  OF  STATE,  FOREIGN  OPERATIONS,  AND  RELATED  PROGRAMS  APPROPRIATIONS  BILL,  2006	senate	sr096	109	MCCONNELL	Committee on Appropriations	H.R. 3057
97	THE  FAIRNESS  IN  ASBESTOS  INJURY  RESOLUTION  ACT  OF  2005	senate	sr097	109	SPECTER	Committee on the Judiciary	S. 852
98	NUCLEAR  SECURITY  ACT  OF  2005	senate	sr098	109	INHOFE	Committee on Environment and Public Works	S. 864
99	PRICE-ANDERSON  AMENDMENTS  ACT  OF  2005	senate	sr099	109	INHOFE	Committee on Environment and Public Works	S. 865
100	NUCLEAR  FEES  REAUTHORIZATION  ACT  OF  2005	senate	sr100	109	INHOFE	Committee on Environment and Public Works	S. 858
101	APPROVING  THE  RENEWAL  OF  IMPORT  RESTRICTIONS  CONTAINED  IN  THE  BURMESE  FREEDOM  AND  DEMOCRACY  ACT  OF  2003	senate	sr101	109	GRASSLEY	Committee on Finance	S.J. Res. 18
102	OCEAN  AND  COASTAL  MAPPING  INTEGRATION  ACT	senate	sr102	109	STEVENS	Committee on Commerce	S. 364
103	DEPARTMENTS  OF  LABOR,  HEALTH  AND  HUMAN  SERVICES,  AND  EDUCATION,  AND  RELATED  AGENCIES  APPROPRIATION  BILL,  2006	senate	sr103	109	SPECTER	Committee on Appropriations	H.R. 3010
104	NATIONAL  WOMEN'S  HISTORY  MUSEUM  ACT  OF  2005	senate	sr104	109	COLLINS	Committee on Homeland Security and Governmental Affairs	S. 501
105	MILITARY  CONSTRUCTION  AND  VETERANS  AFFAIRS  AND  RELATED  AGENCIES  APPROPRIATION  BILL,  2006	senate	sr105	109	HUTCHISON	Committee on Appropriations	H.R. 2528
106	DISTRICT  OF  COLUMBIA  APPROPRIATIONS  BILL,  2006	senate	sr106	109	BROWNBACK	Committee on Appropriations	S. 1446
107	MEDICAL  DEVICE  USER  FEE  STABILIZATION  ACT  OF  2005	senate	sr107	109	ENZI	Committee on Health	S. 1420
108	NATIONAL  AERONAUTICS  AND  SPACE  ADMINISTRATION  AUTHORIZATION  ACT  OF  2005	senate	sr108	109	STEVENS	Committee on Commerce	S. 1281
109	TRANSPORTATION,  TREASURY,  THE  JUDICIARY,  HOUSING  AND  URBAN  DEVELOPMENT,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  2006	senate	sr109	109	BOND	Committee on Appropriations	H.R. 3058
110	TO  AMEND  THE  FEDERAL  FOOD,  DRUG,  AND  COSMETIC  ACT  TO  PROVIDE  FOR  THE  REGULATION  OF  ALL  CONTACT  LENSES  AS  MEDICAL  DEVICES,  AND  FOR  OTHER  PURPOSES	senate	sr110	109	ENZI	Committee on Health, Education, Labor, and Pensions	S. 172
111	WIRED  FOR  HEALTH  CARE  QUALITY  ACT	senate	sr111	109	ENZI	Committee on Health, Education, Labor, and Pensions	S. 1418
112	TO  FACILITATE  SHAREHOLDER  CONSIDERATION  OF  PROPOSALS  TO  MAKE  SETTLEMENT  COMMON  STOCK  UNDER  THE  ALASKA  NATIVE  CLAIMS  SETTLEMENT  ACT  AVAILABLE  TO  MISSED  ENROLLEES,  ELIGIBLE  ELDERS,  AND  ELIGIBLE  PERSONS  BORN  AFTER  DECEMBER  18,  1971,  AND  FOR  OTHER  PURPOSES	senate	sr112	109	MCCAIN	Committee on Indian Affairs	S. 449
113	A  JOINT  RESOLUTION  TO  ACKNOWLEDGE  A  LONG  HISTORY  OF  OFFICIAL  DEPREDATIONS  AND  ILL-CONCEIVED  POLICIES  BY  THE  UNITED  STATES  GOVERNMENT  REGARDING  INDIAN  TRIBES  AND  OFFER  AN  APOLOGY  TO  ALL  NATIVE  PEOPLES  ON  BEHALF  OF  THE  UNITED  STATES	senate	sr113	109	MCCAIN	Committee on Indian Affairs	S.J. Res. 15
114	COAST  GUARD  AUTHORIZATION  ACT  OF  2005	senate	sr114	109	STEVENS	Committee on Commerce	S. 1280
115	FURTHER  REVISED  ALLOCATION  TO  SUBCOMMITTEES  OF  BUDGET  TOTALS  FROM  THE  CONCURRENT  RESOLUTION  FOR  FISCAL  YEAR  2006	senate	sr115	109	COCHRAN	Committee on Appropriations	
116	PROVIDING  FOR  THE  ACQUISITION  OF  SUBSURFACE  MINERAL  INTERESTS  IN  LAND  OWNED  BY  THE  PASCUA  YAQUI  TRIBE  AND  LAND  HELD  IN  TRUST  FOR  THE  TRIBE	senate	sr116	109	MCCAIN	Committee on Indian Affairs	S. 1291
117	NATIONAL  ALL  SCHEDULES  PRESCRIPTION  ELECTRONIC  REPORTING  ACT  OF  2005	senate	sr117	109	ENZI	Committee on Health, Education, Labor, and Pensions	S. 518
118	AMENDING  THE  INDIAN  SELF  DETERMINATION  AND  EDUCATION  ASSISTANCE  ACT  TO  MODIFY  PROVISIONS  RELATING  TO  THE  NATIONAL  FUND  FOR  EXCELLENCE  IN  AMERICAN  INDIAN  EDUCATION	senate	sr118	109	MCCAIN	Committee on Indian Affairs	S. 1231
119	COMMODITY  EXCHANGE  REAUTHORIZATION  ACT  OF  2005	senate	sr119	109	CHAMBLISS	Committee on Agriculture	S. 1566
120	SURFACE  TRANSPORTATION  SAFETY  IMPROVEMENT  ACT  OF  2005	senate	sr120	109	STEVENS	Committee on Commerce	S. 1567
121	STATE  HIGH  RISK  POOL  FUNDING  EXTENSION  ACT  OF  2005	senate	sr121	109	ENZI	Committee on Health, Education, Labor, and Pensions	S. 288
122	AMENDING  THE  INDIAN  GAMING  REGULATORY  ACT  TO  PROVIDE  FOR  ACCOUNTABILITY  AND  FUNDING  OF  THE  NATIONAL  INDIAN  GAMING  COMMISSION  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr122	109	MCCAIN	Committee on Indian Affairs	S. 1295
123	TO  REAUTHORIZE  THE  GREAT  APE  CONSERVATION  ACT  OF  2000  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr123	109	INHOFE	Committee on Environment and Public Works	S. 1250
124	JUNIOR  DUCK  STAMP  REAUTHORIZATION  ACT  OF  2005  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr124	109	INHOFE	Committee on Environment and Public Works	S. 1339
125	AMEND  THE  PITTMAN-ROBERTSON  WILDLIFE  RESTORATION  ACT  TO  EXTEND  THE  DATE  AFTER  WHICH  SURPLUS  FUNDS  IN  THE  WILDLIFE  RESTORATION  FUND  BECOME  AVAILABLE  FOR  APPORTIONMENT.  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr125	109	INHOFE	Committee on Environment and Public Works	S. 1340
126	CAPTIVE  WILDLIFE  SAFETY  TECHNICAL  AMENDMENT  ACT  OF  2005  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr126	109	INHOFE	Committee on Environment and Public Works	S. 1415
127	NATIONAL  FISH  AND  WILDLIFE  FOUNDATION  REAUTHORIZATION  ACT  OF  2005  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr127	109	INHOFE	Committee on Environment and Public Works	H.R. 1428
128	DOMINICAN  REPUBLIC-CENTRAL  AMERICA-UNITED  STATES  FREE  TRADE  AGREEMENT  IMPLEMENTATION  ACT  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005.	senate	sr128	109	GRASSLEY	Committee on Finance	S. 1307
129	STEM  CELL  THERAPEUTIC  AND  RESEARCH  ACT  OF  2005  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr129	109	ENZI	Committee on Health	S. 1317
130	CARING  FOR  CHILDREN  ACT  OF  2005  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr130	109	ENZI	Committee on Health	S. 525
131	HEAD  START  IMPROVEMENTS  FOR  SCHOOL  READINESS  ACT  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JULY  29,  2005	senate	sr131	109	ENZI	Committee on Health	S. 1107
132	NEOTROPICAL  MIGRATORY  BIRD  CONSERVATION  IMPROVEMENT  ACT  OF  2005	senate	sr132	109	INHOFE	Committee on Environment and Public Works	S. 1410
133	DIESEL  EMISSIONS  REDUCTION  ACT  OF  2005	senate	sr133	109	INHOFE	Committee on Environment and Public Works	S. 1265
134	WORKFORCE  INVESTMENT  ACT  AMENDMENTS  OF  2005	senate	sr134	109	ENZI	Committee on Health	S. 1021
135	REVIEW  OF  LEGISLATIVE  ACTIVITY  DURING  THE  108TH  CONGRESS	senate	sr135	109	LOTT	Committee on Rules and Administration	
136	MODIFYING  THE  DATE  AS  OF  WHICH  CERTAIN  TRIBAL  LAND  OF  THE  LYTTON  PANCHERIA  OF  CALIFORNIA  IS  DEEMED  TO  BE  HELD  IN  TRUST	senate	sr136	109	MCCAIN	Committee on Indian Affairs	S. 113
137	COASTAL  ZONE  ENHANCEMENT  REAUTHORIZATION  ACT  OF  2005	senate	sr137	109	STEVENS	Committee on Commerce	S. 360
138	VETERANS'  COMPENSATION  COST-OF-LIVING  ADJUSTMENT  ACT  OF  2005	senate	sr138	109	CRAIG	Committee on Veterans	S. 1234
139	VETERANS'  BENEFITS  IMPROVEMENT  ACT  OF  2005	senate	sr139	109	CRAIG	Committee on Veterans	S. 1235
140	EXTENDING  THE  SPECIAL  POSTAGE  STAMP  FOR  BREAST  CANCER	senate	sr140	109	COLLINS	Committee on Homeland Security and Governmental Affairs	S. 37
141	DEPARTMENT  OF  DEFENSE  APPROPRIATIONS  BILL,  2006	senate	sr141	109	STEVENS	Committee on Appropriations	H.R. 2863
142	INTELLIGENCE  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	senate	sr142	109	ROBERTS	Select Committee on Intelligence	S. 1803
143	PASSENGER  RAIL  INVESTMENT  AND  IMPROVEMENT  ACT  OF  2005	senate	sr143	109	STEVENS	Committee on Commerce	S. 1516
144	ICE  AGE  FLOODS  NATIONAL  GEOLOGIC  TRAIL  DESIGNATION  ACT  OF  2005	senate	sr144	109	DOMENICI	Committee on Energy and Natural Resources	S. 206
145	COLUMBIA  SPACE  SHUTTLE  MEMORIAL  STUDY  ACT  OF  2005	senate	sr145	109	DOMENICI	Committee on Energy and Natural Resources	242
146	BETTY  DICK  RESIDENCE  PROTECTION  ACT	senate	sr146	109	DOMENICI	Committee on Energy and Natural Resources	S. 584
147	BENJAMIN  FRANKLIN  NATIONAL  MEMORIAL  COMMEMORATION  ACT  OF  2005	senate	sr147	109	DOMENICI	Committee on Energy and Natural Resources	S. 652
148	RURAL  WATER  SUPPLY  ACT  OF  2005	senate	sr148	109	DOMENICI	Committee on Energy and Natural Resources	S. 895
149	FRANKLIN  NATIONAL  BATTLEFIELD  STUDY  ACT	senate	sr149	109	DOMENICI	Committee on Energy and Natural Resources	S. 955
150	STAR-SPANGLED  BANNER  NATIONAL  HISTORIC  TRAIL  ACT	senate	sr150	109	DOMENICI	Committee on Energy and Natural Resources	S. 958
151	ACADIA  NATIONAL  PARK  IMPROVEMENT  ACT  OF  2005	senate	sr151	109	DOMENICI	Committee on Energy and Natural Resources	S. 1154
152	PUBLIC  LANDS  CORPS  HEALTHY  FORESTS  RESTORATION	senate	sr152	109	DOMENICI	Committee on Energy and Natural Resources	S. 1238
153	DELAWARE  NATIONAL  COASTAL  SPECIAL  RESOURCES  STUDY  ACT	senate	sr153	109	DOMENICI	Committee on Energy and Natural Resources	S. 1627
154	CAPE  LOOKOUT  NATIONAL  SEASHORE  FREE-ROAMING  HORSE  LAW  AMENDMENT	senate	sr154	109	DOMENICI	Committee on Energy and Natural Resources	H.R. 126
155	CARIBBEAN  NATIONAL  FOREST  ACT  OF  2005	senate	sr155	109	DOMENICI	Committee on Energy and Natural Resources	H.R. 539
156	DEPARTMENT  OF  THE  INTERIOR  VOLUNTEER  RECRUITMENT  ACT  OF  2005	senate	sr156	109	DOMENICI	Committee on Energy and Natural Resources	H.R. 584
157	ANGEL  ISLAND  IMMIGRATION  STATION  RESTORATION  AND  PRESERVATION  ACT	senate	sr157	109	DOMENICI	Committee on Energy and Natural Resources	H.R. 606
158	PROVIDING  FOR  THE  PARTICIPATION  OF  EMPLOYEES  IN  THE  JUDICIAL  BRANCH  IN  THE  FEDERAL  LEAVE  TRANSFER  PROGRAM  FOR  DISASTERS  AND  EMERGENCIES	senate	sr158	109	COLLINS	Committee on Homeland Security and Governmental Affairs	S. 1736
159	TO  AMEND  THE  SAFE  DRINKING  WATER  ACT  AMENDMENTS  OF  1996  TO  MODIFY  THE  GRANT  PROGRAM  TO  IMPROVE  SANITATION  IN  RURAL  AND  NATIVE  VILLAGES  IN  THE  STATE  OF  ALASKA	senate	sr159	109	INHOFE	Committee on Environment and Public Works	S. 1409
160	NATIVE  AMERICAN  HOUSING  ENHANCEMENT  ACT  OF  2005	senate	sr160	109	MCCAIN	Committee on Indian Affairs	H.R. 797
161	NATIONAL  GEOLOGIC  MAPPING  REAUTHORIZATION  ACT  OF  2005	senate	sr161	109	DOMENICI	Committee on Energy and Natural Resources	S. 485
162	MORLEY  NELSON  SNAKE  RIVER  BIRDS  OF  PREY  NATIONAL  CONSERVATION  AREA  ACT	senate	sr162	109	DOMENICI	Committee on Energy and Natural Resources	S. 761
163	FORT  STANTON-SNOWY  RIVER  NATIONAL  CAVE  CONSERVATION  AREA  ACT	senate	sr163	109	DOMENICI	Committee on Energy and Natural Resources	S. 1170
164	DESCHUTES  RIVER  CONSERVANCY  REAUTHORIZATION  ACT  OF  2005	senate	sr164	109	DOMENICI	Committee on Energy and Natural Resources	S. 166
165	LITTLE  BUTTE/BEAR  CREEK  SUBBASINS  WATER  FEASIBILITY  ACT	senate	sr165	109	DOMENICI	Committee on Energy and Natural Resources	S. 251
166	RIO  ARRIBA  COUNTY  LAND  CONVEYANCE  ACT	senate	sr166	109	DOMENICI	Committee on Energy and Natural Resources	S. 213
167	GLENDO  UNIT  OF  THE  MISSOURI  RIVER  BASIN  PROJECT  CONTRACT  EXTENSION  ACT  OF  2005	senate	sr167	109	DOMENICI	Committee on Energy and Natural Resources	S. 592
168	PACTOLA  RESERVOIR  REALLOCATION  AUTHORIZATION  ACT  OF  2005	senate	sr168	109	DOMENICI	Committee on Energy and Natural Resources	S. 819
169	NEBRASKA  WATER  SERVICE  EXTENSION	senate	sr169	109	DOMENICI	Committee on Energy and Natural Resources	S. 891
170	ALASKA  WATER  RESOURCES  ACT  OF  2005	senate	sr170	109	DOMENICI	Committee on Energy and Natural Resources	S. 1338
171	INTELLIGENCE  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	senate	sr173	109	WARNER	Committee on Armed Services	S. 1803
172	NATIONAL  EMPLOYEE  SAVINGS  AND  TRUST  EQUITY  GUARANTEE  ACT	senate	sr174	109	GRASSLEY	Committee on Finance	S. 1953
173	DIRECTING  THE  SECRETARY  OF  THE  INTERIOR  TO  CONVEY  CERTAIN  LAND  HELD  IN  TRUST  FOR  THE  PAIUTE  INDIAN  TRIBE  OF  UTAH  TO  THE  CITY  OF  RICHFIELD,  UTAH,  AND  FOR  OTHER  PURPOSES	senate	sr175	109	MCCAIN	Committee on Indian Affairs	H.R. 680
174	FURTHER  REVISED  ALLOCATION  TO  SUBCOMMITTEES  OF  BUDGET  TOTALS  FROM  THE  CONCURRENT  RESOLUTION  FOR  FISCAL  YEAR  2006	senate	sr176	109	COCHRAN	Committee on Appropriations	
175	VETERANS'  HEALTH  CARE  ACT  OF  2005	senate	sr177	109	CRAIG	Committee on Veterans	S. 1182
176	MEETING  THE  HOUSING  AND  SERVICE  NEEDS  OF  SENIORS  ACT  OF  2005	senate	sr178	109	SHELBY	Committee on Banking	S. 705 
177	COASTAL  BARRIER  RESOURCES  REAUTHORIZATION  ACT  OF  2005	senate	sr179	109	INHOFE	Committee on Environment and Public Works	S. 1869
178	VET  CENTER  ENHANCEMENT  ACT  OF  2005	senate	sr180	109	CRAIG	Committee on Veterans	S. 716
179	BALLAST  WATER  MANAGEMENT  ACT  OF  2005	senate	sr181	109	STEVENS	Committee on Commerce	S. 363
180	CORAL  REEF  CONSERVATION  ACT  OF  2005	senate	sr182	109	STEVENS	Committee on Commerce	S. 1390
181	MARITIME  ADMINISTRATION  ENHANCEMENT  ACT  OF  2005	senate	sr183	109	STEVENS	Committee on Commerce	S. 2029
182	FURTHER  REVISED  ALLOCATION  TO  SUBCOMMITTEES  OF  BUDGET  TOTALS  FROM  THE  CONCURRENT  RESOLUTION  FOR  FISCAL  YEAR  2006	senate	sr184	109	COCHRAN	Committee on Appropriations	
183	LONG  ISLAND  SOUND  STEWARDSHIP  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr185	109	INHOFE	Committee on Environment and Public Works	S. 158
184	WATER  INFRASTRUCTURE  FINANCING  ACT  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr186	109	INHOFE	Committee on Environment and Public Works	S. 1400
185	ELECTRONIC  DUCK  STAMP  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr187	109	INHOFE	Committee on Environment and Public Works	S. 1496
186	NEWLANDS  PROJECT  HEADQUARTERS  AND  MAINTENANCE  YARD  FACILITY  TRANSFER  ACT  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr188	109	DOMENICI	Committee on Energy and Natural Resources	S. 310
187	LOWER  FARMINGTON  RIVER  AND  SALMON  BROOK  WILD  AND  SCENIC  RIVER  STUDY  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr189	109	DOMENICI	Committee on Energy and Natural Resources	S. 435
188	RECLAMATION  STATES  EMERGENCY  DROUGHT  RELIEF  ACT  OF  1991  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr190	109	DOMENICI	Committee on Energy and Natural Resources	S. 648
189	JAMES  CAMPBELL  NATIONAL  WILDLIFE  REFUGE  EXPANSION  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr191	109	INHOFE	Committee on Environment and Public Works	S. 1165
190	WICHITA  PROJECT  EQUUS  BEDS  DIVISION  AUTHORIZATION  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr192	109	DOMENICI	Committee on Energy and Natural Resources	S. 1025
191	MUSCONETCONG  WILD  AND  SCENIC  RIVERS  ACT  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr193	109	DOMENICI	Committee on Energy and Natural Resources	S. 1096
192	DELAWARE  WATER  GAP  NATIONAL  RECREATION  AREA  NATURAL  GAS  PIPELINE  ENLARGEMENT  ACT  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr194	109	DOMENICI	Committee on Energy and Natural Resources	S. 1310
193	LAND  CONVEYED  BY  THE  UNITED  STATES  TO  EASTERN  WASHINGTON  UNIVERSITY  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr195	109	DOMENICI	Committee on Energy and Natural Resources	S. 1552
194	UPPER  COLORADO  AND  SAN  JUAN  RIVER  BASIN  ENDANGERED  FISH  RECOVERY  PROGRAMS  REAUTHORIZATION  ACT  OF  2005	senate	sr196	109	DOMENICI	Committee on Energy and Natural Resources	S. 1578
195	SOUTHERN  OREGON  BUREAU  OF  RECLAMATION  REPAYMENT  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr197	109	DOMENICI	Committee on Energy and Natural Resources	S. 1760
196	WATER  SUPPLY  TECHNOLOGY  PROGRAM  ACT  OF  2005  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  NOVEMBER  18,  2005	senate	sr198	109	DOMENICI	Committee on Energy and Natural Resources	S. 1860
197	UNITED  STATES-BAHRAIN  FREE  TRADE  AGREEMENT  IMPLEMENTATION  ACT  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr199	109	GRASSLEY	Committee on Finance	S. 2027
198	SPOKANE  TRIBE  OF  INDIANS  OF  THE  SPOKANE  RESERVATION  GRAND  COULEE  DAM  EQUITABLE  COMPENSATION  SETTLEMENT  ACT  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr200	109	MCCAIN	Committee on Indian Affairs	S. 881
199	AMENDING  PUBLIC  LAW  107-153  TO  MODIFY  A  CERTAIN  DATE  FILED  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  NOVEMBER  18,  2005	senate	sr201	109	MCCAIN	Committee on Indian Affairs	S. 1892
200	WEATHER  MODIFICATION  RESEARCH  AND  TECHNOLOGY  TRANSFER  AUTHORIZATION  ACT  OF  2005	senate	sr202	109	STEVENS	Committee on Commerce	S. 517
201	IDENTITY  THEFT  PROTECTION  ACT	senate	sr203	109	STEVENS	Committee on Commerce	S. 1408
202	WARNING,  ALERT,  AND  RESPONSE  NETWORK  ACT	senate	sr204	109	STEVENS	Committee on Commerce	S. 1753
203	RECRUITING  AND  RETAINING  MORE  QUALIFIED  INDIVIDUALS  TO  TEACH  IN  TRIBAL  COLLEGES  OR  UNIVERSITIES	senate	sr205	109	MCCAIN	Committee on Indian Affairs	S. 731
204	AMENDING  THE  ACT  OF  DECEMBER  22,  1974,  AND  FOR  OTHER  PURPOSES	senate	sr206	109	MCCAIN	Committee on Indian Affairs	S. 1003
205	FURTHER  REVISED  ALLOCATION  TO  SUBCOMMITTEES  OF  BUDGET  TOTALS  FROM  THE  CONCURRENT  RESOLUTION  FOR  FISCAL  YEAR  2006	senate	sr207	109	COCHRAN	Committee on Appropriations	
206	AMENDING  A  PROVISION  RELATING  TO  EMPLOYEES  OF  THE  UNITED  STATES  ASSIGNED  TO,  OR  EMPLOYED  BY,  AN  INDIAN  TRIBE,  AND  FOR  OTHER  PURPOSES	senate	sr208	109	MCCAIN	Committee on Indian Affairs	S. 1312
207	HOMELAND  SECURITY  FOOD  AND  AGRICULTURE  ACT  OF  2005	senate	sr209	109	COLLINS	Committee on Homeland Security and Governmental Affairs	S. 572
208	TRUTH  IN  BROADCASTING  ACT  OF  2005	senate	sr210	109	STEVENS	Committee on Commerce	S. 967
209	IP-ENABLED  VOICE  COMMUNICATIONS  AND  PUBLIC  SAFETY  ACT  OF  2005	senate	sr211	109	STEVENS	Committee on Commerce	S. 1063
210	NATIONAL  HEALTH  MUSEUM  ACT  OF  2005	senate	sr212	109	INHOFE	Committee on Environment and Public Works	S. 2015
211	A  BILL  TO  AUTHORIZE  CERTAIN  TRIBES  IN  THE  STATE  OF  MONTANA  TO  ENTER  INTO  A  LEASE  OR  OTHER  TEMPORARY  CONVEYANCE  OF  WATER  RIGHTS  TO  MEET  THE  WATER  NEEDS  OF  THE  DRY  PRAIRIE  RURAL  WATER  ASSOCIATION,  INC.  FILED,  UNDER  AUTHORITY  OF  THE  ORDER  OF  THE  SENATE  OF  JANUARY  18,  2006	senate	sr213	109	MCCAIN	Committee on Indian Affairs	S. 1219
212	EMERGENCY  LEASE  REQUIREMENTS  ACT  OF  2005	senate	sr214	109	INHOFE	Committee on Environment and Public Works	S. 1708
213	TRAUMA  CARE  SYSTEMS  PLANNING  AND  DEVELOPMENT  ACT  OF  2005	senate	sr215	109	ENZI	Committee on Health	S. 265
214	TRANSPORTATION  SECURITY  IMPROVEMENT  ACT  OF  2005	senate	sr216	109	STEVENS	Committee on Commerce	S. 1052
215	UNITED  STATES-RUSSIA  POLAR  BEAR  CONSERVATION  AND  MANAGEMENT  ACT  OF  2005	senate	sr217	109	STEVENS	Committee on Commerce	S. 2013
216	HIGHER  EDUCATION  AMENDMENTS  OF  2005	senate	sr218	109	ENZI	Committee on Health	S. 1614
217	UNDERTAKING  SPAM,  SPYWARE,  AND  FRAUD  ENFORCEMENT  WITH  ENFORCERS  BEYOND  BORDERS  ACT  OF  2005	senate	sr219	109	STEVENS	Committee on Commerce	S. 1608
218	ENGINE  COOLANT  AND  ANTIFREEZE  BITTERING  AGENT  ACT  OF  2005	senate	sr220	109	STEVENS	Committee on Commerce	S. 1110
219	REAUTHORIZING  PROVISIONS  IN  THE  NATIVE  AMERICAN  HOUSING  ASSISTANCE  AND  SELF-DETERMINATION  ACT  OF  1996  RELATING  TO  NATIVE  HAWAIIAN  LOW-INCOME  HOUSING  AND  FEDERAL  LOAN  GUARANTEES  FOR  NATIVE  HAWAIIAN  HOUSING	senate	sr221	109	MCCAIN	Committee on Indian Affairs	S. 598
220	INDIAN  HEALTH  CARE  IMPROVEMENT  ACT  AMENDMENTS  OF  2005	senate	sr222	109	MCCAIN	Committee on Indian Affairs	S. 1057
221	WAR  RISK  INSURANCE	senate	sr223	109	STEVENS	Committee on Commerce	S. 1102
222	COASTAL  AND  ESTUARINE  LAND  PROTECTION  ACT	senate	sr224	109	STEVENS	Committee on Commerce	S. 1215
223	AGE  60  RULE	senate	sr225	109	STEVENS	Committee on Commerce	S. 65
